Change Component Footprint: Designator=L1 Old Footprint=TAIYO YUDEN NRS8040 New Footprint=TAIYO YUDEN NRS8030
Change component parameters: Designator = "L1" ("L1"); Footprint = "TAIYO YUDEN NRS8040"; UniqueID = "\CMQMPSMB" ("\CMQMPSMB")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=NRS8030T100MJGJV  &u=M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/taiyo-yuden/NRS8030T100MJGJV/4693986"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Saturation"; Value = "2.4A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "3 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "42.9mOhm Max"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "Nonstandard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Self Resonant"; Value = "27MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.118" (3.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "10 µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Frequency - Test"; Value = "100 kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "2/8/2024 9:55:48 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Core"; Value = "Ferrite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "Nonstandard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "NRS8030T100MJGJV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "5482"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "NR, S Type"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.315" L x 0.315" W (8.00mm x 8.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "587-3647-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Drum Core, Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 µH"; VariantName = "[No Variations]"
