Removed Pin From Net: NetName=GND Pin=J2-1
Removed Pin From Net: NetName=VL53_SDA Pin=J2-2
Removed Pin From Net: NetName=VL53_SCL Pin=J2-3
Removed Pin From Net: NetName=3V3 Pin=J2-4
Removed Pin From Net: NetName=RC PWM INPUT 1 Pin=RC-1
Removed Pin From Net: NetName=RC PWM INPUT 2 Pin=RC-2
Removed Pin From Net: NetName=3V3 Pin=RC-9
Removed Pin From Net: NetName=GND Pin=RC-17
Removed Pin From Net: NetName=GND Pin=RC-18
Removed Pin From Net: NetName=GND Pin=RC-19
Removed Pin From Net: NetName=GND Pin=RC-20
Removed Pin From Net: NetName=GND Pin=RC-21
Removed Pin From Net: NetName=GND Pin=RC-22
Removed Pin From Net: NetName=GND Pin=RC-23
Removed Pin From Net: NetName=GND Pin=RC-24
Change Component Footprint: Designator=RC Old Footprint=HEADER8X3 New Footprint=JST SM04B-GHS-TB
Change Component Footprint: Designator=J2 Old Footprint=JST SM04B-SURS-TF New Footprint=JST XH B3B-XH-A
Change Component Comment : Designator=RC Old Comment=Radio Control New Comment=Radio Controller
Change Component Comment : Designator=J2 Old Comment=SM04B-SURS-TF(LF)(SN) New Comment=Jetson Uart connector
Change component parameters: Designator = "J2" ("J2"); Footprint = "JST SM04B-SURS-TF"; UniqueID = "\EVGMMOSH" ("\EVGMMOSH")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.jst-mfg.com/product/pdf/eng/eXH.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/jst-sales-america-inc/B3B-XH-A-LF-SN/455-2248-ND/1651046"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Post"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Length - Post"; Value = "0.134" (3.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Shape"; Value = "Square"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Detent Lock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Natural"; VariantName = "[No Variations]"
